NAICS,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Electro-Chemical Processes,Facility HVAC,Facility Lighting,Machine Drive,Onsite Transportation,Other Facility Support,Other Nonprocess Use,Other Process Use,Process Cooling and Refrigeration,Process Heating,Total,,,,,,
3315,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
331511,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
331512,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
331513,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
331521,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
331522,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
331523,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
331524,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
331525,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
331528,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
331529,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
332,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3321,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3321,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
33211,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332111,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332112,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332114,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332115,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332116,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332117,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332119,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3322,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3322,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
33221,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332211,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332212,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332213,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332214,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332215,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332216,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3323,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3323,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
33231,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332311,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332312,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
