VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
424590,Other Farm Product Raw Material Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4246,Chemical and Allied Products Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4246,Chemical and Allied Products Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424690,Other Chemical and Allied Products Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4247,Petroleum and Petroleum Products Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4247,Petroleum and Petroleum Products Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424710,Petroleum Bulk Stations and Terminals,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424810,Beer and Ale Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424910,Farm Supplies Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
425,Wholesale Trade Agents and Brokers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4251,Wholesale Trade Agents and Brokers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
425110,Warehouse,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
425120,Wholesale Trade Agents and Brokers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
444,Building Material and Garden Equipment and Supplies Dealers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
444,Building Material and Garden Equipment and Supplies Dealers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4441,Building Material and Supplies Dealers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4441,Building Material and Supplies Dealers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
444110,Home Centers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
445,Food and Beverage Retailers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4451,Grocery and Convenience Retailers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4451,Grocery and Convenience Retailers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
48,Transporation and Warehousing,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
49,Transporation and Warehousing,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
493,Warehousing and Storage,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4931,Warehousing and Storage,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4931,Warehousing and Storage,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
493110,General Warehousing and Storage,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
493130,Farm Product Warehousing and Storage,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
493190,Other Warehousing and Storage,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
