NAICS,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Electro-Chemical Processes,Facility HVAC,Facility Lighting,Machine Drive,Onsite Transportation,Other Facility Support,Other Nonprocess Use,Other Process Use,Process Cooling and Refrigeration,Process Heating,Total,,,,,,
311223,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
311222,0,0,0,0,0.1,0,0,0,0,0,0,0,0.8,1,,,,,,
311221,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
311213,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.5,1,,,,,,
311212,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.5,1,,,,,,
311211,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
311119,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
311111,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
31523,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
31499,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
31222,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
31211,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
31199,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
31194,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
31191,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
31182,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
31181,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
31161,0,0.6,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
31151,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
31142,0,0.5,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
31141,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
31135,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
31131,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
31122,0.4,0.3,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
31121,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
31111,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3161,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3159,0.2,0.3,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
3152,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
3152,0,0.5,0,0,0.1,0,0,0,0.1,0,0,0,0.3,1,,,,,,
3151,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
3149,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
3149,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
3141,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
3141,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
3133,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
3133,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
3133,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
3132,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
3132,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
3122,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3122,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3121,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3121,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3119,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3119,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3118,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3118,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3117,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
3117,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
3116,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
3115,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
3115,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
3114,0,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
3114,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
3113,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
3113,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
3112,0,0.1,0,0,0,0,0,0,0,0,0,0,0.7,1,,,,,,
