VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
443112,"Radio, Television, and Other Electronics Stores",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
443120,Computer and Software Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
443130,Camera and Photographic Supplies Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
44314,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
443141,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
443142,Retail Store,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
444120,Paint and Wallpaper Retailers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
444130,Hardware Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
444190,Other Building Material Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4442,Lawn and Garden Equipment and Supplies Retailers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4442,Lawn and Garden Equipment and Supplies Retailers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
444210,Outdoor Power Equipment Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
444220,Nursery and Garden Centers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
446,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4461,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4461,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
446110,Pharmacies and Drug Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
446120,"Cosmetics, Beauty Supplies, and Perfume Stores",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
446130,Optical Goods Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
44619,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
446191,Food (Health) Supplement Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
446199,All Other Health and Personal Care Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
447,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4471,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4471,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
447110,Gasoline Stations with Convenience Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
44719,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
447190,Other Gasoline Stations,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4481,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4481,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448110,Men's Clothing Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448120,Women's Clothing Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448130,Children's and Infants' Clothing Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448140,Family Clothing Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448150,Clothing Accessories Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448190,Other Clothing Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4482,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4482,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448210,Shoe Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4483,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448310,Jewelry Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
448320,Luggage and Leather Goods Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
45,Retail Trade,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
451,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4511,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4511,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
451110,Sporting Goods Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
451120,"Hobby, Toy, and Game Stores",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
451130,"Sewing, Needlework, and Piece Goods Stores",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
451140,Musical Instrument and Supplies Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4512,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4512,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
45121,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
451211,Book Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
451212,News Dealers and Newsstands,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
451220,"Prerecorded Tape, Compact Disc, and Record Stores",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4521,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4521,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452110,Department Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452111,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452112,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4522,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452210,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
45231,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452311,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452319,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4529,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4529,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452910,Warehouse Clubs and Superstores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
452990,All Other General Merchandise Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4531,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4531,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453110,Florists,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4532,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4532,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453210,Office Supplies and Stationery Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453220,"Gift, Novelty, and Souvenir Stores",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4533,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
