tract_geoid_2019,<60,60,61 - 89,90,91 - 149,150,>150
06007001600,0,1,0,3,0,0,0
06007001702,0,0,0,4,0,1,0
06007001703,0,0,0,3,0,0,0
06007001704,0,0,0,3,0,0,0
06007001800,0,17,0,7,0,3,0
06007001900,0,3,0,1,0,0,0
06007002000,0,19,0,6,0,0,0
06007002100,2,30,0,19,0,1,0
06007002200,1,17,0,19,0,4,0
06007002300,0,1,0,8,0,1,0
06007002400,0,1,0,2,0,0,0
06007002500,0,28,0,37,0,2,0
06007002601,0,0,0,0,0,1,0
06007002602,0,1,0,0,0,0,0
06007002700,1,16,0,14,0,1,0
06007002800,17,109,0,33,0,2,0
06007002900,2,18,0,3,0,0,0
06007003001,2,9,0,9,0,0,0
06007003002,2,2,0,3,0,0,0
06007003100,0,4,0,5,0,0,0
06007003200,1,1,0,0,0,0,0
06007003400,0,1,0,1,0,1,0
06007003501,2,14,0,5,0,0,0
06007003502,4,8,0,8,0,1,0
06007003600,1,3,0,6,0,0,0
06007003700,1,7,0,7,0,0,0
06009000120,0,2,0,24,0,1,0
06009000121,2,27,0,10,0,1,0
06009000122,1,7,0,8,0,0,0
06009000210,1,11,0,3,0,0,0
06009000300,5,30,0,26,0,7,0
06009000400,0,0,0,2,0,2,0
06009000501,0,2,0,6,0,2,0
06009000503,0,2,0,0,0,0,0
06009000504,1,1,0,1,0,0,0
06011000100,0,5,0,4,0,0,0
06011000200,1,8,0,11,0,1,0
06011000300,2,17,0,19,0,2,0
06011000400,0,6,0,3,0,1,0
06011000500,5,30,0,17,0,4,0
06013301000,1,2,0,3,0,1,0
06013302005,0,3,0,6,0,4,0
06013302007,3,7,0,3,0,1,0
06013302008,1,5,0,1,0,0,0
06013302009,0,0,0,1,0,0,0
06013302010,0,0,0,1,0,0,0
06013303102,0,4,0,11,0,1,0
06013303103,4,14,0,17,0,4,0
06013303201,0,0,0,1,0,0,0
06013303202,0,0,0,2,0,1,0
06013303203,0,0,0,12,0,5,0
06013303204,1,7,0,11,0,2,0
06013303205,0,0,0,32,0,1,0
06013304001,0,0,0,0,0,13,0
06013304002,0,1,0,2,0,0,0
06013304003,0,0,0,23,0,10,0
06013304004,0,5,0,3,0,1,0
06013304005,0,0,0,7,0,2,0
06013305000,37,132,0,37,0,4,0
06013306002,1,2,0,1,0,1,0
06013306003,14,23,0,15,0,0,0
06013306004,3,17,0,28,0,5,0
06013307101,0,3,0,4,0,1,0
06013307102,7,54,0,22,0,1,0
06013307201,0,6,0,5,0,1,0
06013307202,0,80,0,63,0,5,0
06013307205,0,37,0,12,0,0,0
06013308001,0,17,0,34,0,2,1
06013309000,2,6,0,7,0,2,0
06013310000,38,80,0,19,0,9,0
06013311000,21,37,0,12,0,1,0
06013312000,3,19,0,14,0,1,0
06013313101,0,19,0,24,0,2,0
06013313102,0,0,0,4,0,1,0
06013313103,1,1,0,2,0,0,0
06013313204,3,45,0,17,0,1,0
06013313206,0,2,0,3,0,0,0
06013314102,0,35,0,17,0,0,0
06013314103,5,23,0,43,0,11,2
06013314104,17,37,0,12,0,4,0
06013314200,0,4,0,3,0,0,0
06013315000,0,1,0,2,0,0,0
06013316000,4,48,0,10,0,5,0
06013317000,10,87,0,15,0,1,0
06013318000,12,67,0,14,0,1,0
06013319000,14,52,0,25,0,6,0
06013320001,3,15,0,6,0,3,1
06013320003,0,1,0,0,0,1,0
06013320004,2,7,0,13,0,1,0
06013321101,0,11,0,34,0,4,0
06013321102,0,10,0,47,0,4,0
06013321103,0,23,0,16,0,0,0
06013321200,1,42,0,53,0,3,0
06013322000,0,4,0,7,0,0,0
06013323000,1,4,0,1,0,0,0
06013324001,2,5,0,7,0,6,0
06013324002,1,8,0,10,0,0,0
06013325000,1,20,0,11,0,0,0
06013326000,1,5,0,5,0,0,0
06013327000,1,18,0,5,0,1,0
06013328000,2,30,0,20,0,4,0
06013329000,1,31,0,14,0,1,0
06013330000,0,5,0,3,0,0,0
06013331000,10,49,0,36,0,5,0
06013332000,1,13,0,12,0,1,0
06013333101,0,7,0,8,0,0,0
06013333102,0,0,0,6,0,0,0
06013333200,0,22,0,17,0,1,0
06013334001,1,12,0,11,0,2,0
06013334004,0,50,0,31,0,1,0
06013334006,0,1,0,13,0,3,0
06013334200,0,3,0,4,0,3,0
06013335000,4,10,0,8,0,0,0
06013336101,0,22,0,10,0,0,0
06013336102,1,35,0,30,0,2,0
06013336201,1,14,0,8,0,2,0
06013336202,2,38,0,36,0,1,0
06013337100,0,4,0,22,0,1,0
06013337200,0,23,0,12,0,0,0
06013337300,0,18,0,7,0,0,0
06013338101,1,10,0,7,0,0,0
06013338102,0,3,0,2,0,0,0
06013338201,0,1,0,0,0,0,0
06013338203,1,9,0,7,0,3,0
06013338204,0,8,0,14,0,4,0
06013338301,0,1,0,0,0,0,0
06013338302,0,15,0,5,0,1,0
06013339001,0,24,0,14,0,4,0
06013339002,7,62,0,42,0,12,1
06013340001,3,81,0,32,0,3,0
06013340002,2,41,0,25,0,5,0
06013341000,3,25,0,19,0,3,0
06013343001,2,50,0,32,0,0,0
06013343002,0,19,0,16,0,1,0
06013343003,0,16,0,2,0,0,0
06013345101,0,0,0,18,0,3,0
06013345103,0,3,0,1,0,0,0
06013345105,0,19,0,25,0,5,0
06013345108,0,0,0,21,0,8,0
06013345111,0,0,0,6,0,0,0
06013345112,0,0,0,26,0,3,0
06013345113,0,1,0,31,0,7,0
06013345114,0,4,0,15,0,2,0
06013345115,0,0,0,4,0,0,0
06013345116,0,1,0,0,0,0,0
06013345202,1,24,0,57,0,15,0
06013345203,0,9,0,16,0,1,0
06013345204,0,1,0,1,0,0,0
06013346101,0,21,0,6,0,1,0
06013346102,0,0,0,1,0,1,0
06013346201,0,2,0,1,0,0,0
06013346203,0,7,0,12,0,0,0
06013346204,1,1,0,11,0,1,0
06013347000,0,8,0,6,0,0,0
06013348000,0,4,0,10,0,3,1
06013349000,4,26,0,14,0,3,0
