tract_geoid_2019,<100,100,101 - 199,200,>200
06037433902,0.16051660516605165,0.18081180811808117,0.07749077490774908,0.5129151291512916,0.06826568265682657
06037434001,0.09555555555555556,0.34444444444444444,0.14888888888888888,0.21555555555555556,0.19555555555555557
06037434003,0.17117117117117117,0.37237237237237236,0.13213213213213212,0.27627627627627627,0.04804804804804805
06037434004,0.12576687116564417,0.44785276073619634,0.03067484662576687,0.3588957055214724,0.03680981595092025
06037460000,0.0,0.15426781519185592,0.018794048551292093,0.591229444009397,0.23570869224745497
06037460100,0.03413746017296313,0.15293582157487484,0.07783340919435594,0.6445152480655439,0.09057806099226218
06037460200,0.03712164477441462,0.16105082809822957,0.08680753854940035,0.6390633923472302,0.0759565962307253
06037460301,0.04188144329896907,0.12951030927835053,0.1875,0.5682989690721649,0.07280927835051547
06037460302,0.0929853181076672,0.18189233278955955,0.07504078303425775,0.6280587275693311,0.02202283849918434
06037460401,0.06374501992031872,0.17131474103585656,0.03187250996015936,0.6374501992031872,0.09561752988047809
06037460501,0.010460251046025104,0.11663179916317992,0.06171548117154812,0.5894351464435147,0.2217573221757322
06037460502,0.02151983860121049,0.10961667787491594,0.09280430396772024,0.6590450571620713,0.11701412239408204
06037460600,0.011432414256893073,0.11028917283120376,0.06186953597848016,0.620712844653665,0.1956960322797579
06037460700,0.013986013986013986,0.07400932400932402,0.08275058275058275,0.5337995337995338,0.29545454545454547
06037460800,0.0206794682422452,0.14032496307237813,0.11447562776957164,0.5502215657311669,0.17429837518463812
06037460900,0.06110711718188354,0.18619698058950396,0.07764198418404025,0.6470165348670022,0.028037383177570093
06037461000,0.07563025210084033,0.15660809778456838,0.08403361344537816,0.6608097784568373,0.02291825821237586
06037461100,0.042268041237113405,0.1556701030927835,0.07422680412371134,0.6845360824742268,0.04329896907216495
06037461200,0.04325371207230471,0.14783731439638476,0.09554551323434474,0.6739832149774048,0.039380245319561004
06037461300,0.052132701421800945,0.13473256601218686,0.10629654705484089,0.6817874069058903,0.025050778605280974
06037461400,0.021352313167259787,0.13167259786476868,0.099644128113879,0.7241992882562278,0.023131672597864767
06037461501,0.027122641509433963,0.1474056603773585,0.09669811320754718,0.722877358490566,0.00589622641509434
06037461502,0.02865761689291101,0.15233785822021115,0.09200603318250378,0.7134238310708899,0.013574660633484163
06037461600,0.03375527426160337,0.27848101265822783,0.07876230661040788,0.569620253164557,0.03938115330520394
06037461700,0.035830618892508145,0.15960912052117263,0.09446254071661238,0.6058631921824105,0.10423452768729642
06037461901,0.0,0.4470046082949309,0.06912442396313365,0.4608294930875576,0.02304147465437788
06037461902,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0
06037462001,0.012461059190031152,0.18691588785046728,0.08722741433021806,0.6915887850467289,0.021806853582554516
06037462002,0.03164556962025317,0.21518987341772153,0.14556962025316456,0.6012658227848101,0.006329113924050633
06037462100,0.0350609756097561,0.15091463414634146,0.09146341463414634,0.7134146341463414,0.009146341463414634
06037462201,0.04,0.11,0.12,0.73,0.0
06037462202,0.0,0.0,0.0,0.5,0.5
06037462301,0.010101010101010102,0.1414141414141414,0.13131313131313133,0.7121212121212122,0.005050505050505051
06037462302,0.014925373134328358,0.16417910447761194,0.05970149253731343,0.7611940298507462,0.0
06037462400,0.02376425855513308,0.14638783269961977,0.10456273764258556,0.7129277566539924,0.012357414448669201
06037462500,0.043911007025761124,0.1990632318501171,0.11475409836065574,0.6059718969555035,0.03629976580796253
06037462600,0.017379679144385027,0.11497326203208556,0.1163101604278075,0.7379679144385026,0.013368983957219251
06037462700,0.0196078431372549,0.13273001508295626,0.1085972850678733,0.7315233785822021,0.007541478129713424
06037462800,0.06278026905829596,0.1547085201793722,0.08968609865470852,0.672645739910314,0.020179372197309416
06037462900,0.03289977046671767,0.162203519510329,0.08416220351951033,0.6809487375669472,0.03978576893649579
06037463000,0.07980456026058631,0.12866449511400652,0.06514657980456026,0.6091205211726385,0.11726384364820847
06037463101,0.072,0.1936,0.0992,0.5776,0.0576
06037463102,0.04965243296921549,0.13406156901688182,0.10526315789473684,0.5958291956305859,0.11519364448857994
06037463200,0.05576679340937896,0.20152091254752852,0.07604562737642585,0.5982256020278834,0.06844106463878327
06037463300,0.02120141342756184,0.10777385159010601,0.07950530035335689,0.7473498233215548,0.044169611307420496
06037463400,0.03909952606635071,0.13270142180094788,0.09123222748815166,0.6540284360189573,0.08293838862559241
06037463500,0.004464285714285714,0.07142857142857142,0.06696428571428571,0.6875,0.16964285714285715
06037463601,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.8181818181818182,0.06060606060606061
06037463602,0.0,0.2,0.0,0.75,0.05
06037463700,0.009375,0.084375,0.103125,0.640625,0.1625
06037463800,0.021518230723251645,0.12074118350268978,0.07710699342498506,0.6545128511655708,0.1261207411835027
06037463900,0.019434628975265017,0.09363957597173145,0.07597173144876325,0.6819787985865724,0.12897526501766785
06037464000,0.020064205457463884,0.11717495987158909,0.08828250401284109,0.6460674157303371,0.12841091492776885
06037464100,0.011428571428571429,0.0783673469387755,0.07102040816326531,0.6661224489795918,0.1730612244897959
06037464200,0.0275,0.0885,0.091,0.6745,0.1185
06037480002,0.05719392314566577,0.15013404825737264,0.0938337801608579,0.6058981233243967,0.09294012511170688
06037480011,0.03768506056527591,0.2072678331090175,0.13324360699865412,0.4993270524899058,0.1224764468371467
06037480012,0.043689320388349516,0.16990291262135923,0.1087378640776699,0.5718446601941748,0.10582524271844661
06037480101,0.06946107784431138,0.162874251497006,0.17005988023952096,0.49580838323353293,0.10179640718562874
06037480102,0.04880581516095535,0.2066458982346833,0.1360332294911734,0.54932502596054,0.059190031152647975
06037480201,0.04027355623100304,0.1337386018237082,0.12613981762917933,0.6709726443768997,0.028875379939209727
06037480202,0.058004640371229696,0.14269141531322505,0.0962877030162413,0.6740139211136891,0.029002320185614848
06037480302,0.033542976939203356,0.14046121593291405,0.1278825995807128,0.6645702306079665,0.033542976939203356
06037480303,0.018518518518518517,0.1111111111111111,0.1111111111111111,0.7314814814814815,0.027777777777777776
06037480304,0.07407407407407407,0.09259259259259259,0.14814814814814814,0.6851851851851852,0.0
06037480400,0.0493046776232617,0.13527180783817952,0.09102402022756005,0.7079646017699115,0.01643489254108723
06037480500,0.009917355371900827,0.12231404958677686,0.11239669421487604,0.7057851239669422,0.049586776859504134
06037480600,0.019430051813471502,0.11787564766839378,0.09844559585492228,0.6787564766839378,0.08549222797927461
06037480702,0.009060955518945634,0.1441515650741351,0.11449752883031301,0.5658978583196046,0.16639209225700163
